Account id,CLI,CLD,Billing Prefix,Connect Time,Disconnect Time,"Duration, sec","Billed Duration, sec",Cost
BRIGHT TELECOM-563,02035000755,2222441638507980,2222441,25/03/2015 11:01:32 AM,25/03/2015 11:01:58 AM,26,60,0.00399
BRIGHT TELECOM-563,01636858774,2222441780755810,2222441,23/03/2015 05:31:26 PM,23/03/2015 05:33:25 PM,119,120,0.00798
BRIGHT TELECOM-563,01636858774,2222443301348680,2222443,23/03/2015 11:21:35 AM,23/03/2015 11:22:44 AM,69,120,0.02048
BRIGHT TELECOM-563,01636858774,2222441476593970,2222441,23/03/2015 07:59:58 AM,23/03/2015 08:01:30 AM,92,120,0.00798
